Gene.primaryIdentifier	Gene.featureType	Gene.qualifier	Gene.secondaryIdentifier	Gene.symbol	Gene.sgdAlias	Gene.featAttribute	Gene.length	Gene.chromosomeLocation.locatedOn.primaryIdentifier	Gene.locations.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.geneSummary	Gene.status	Gene.organism.commonName	Gene.description
S000000013	ORF	Verified	YAL015C	NTG1	bifunctional N-glycosylase/AP lyase NTG1 FUN33 ogg2 SCR1	null	1200	chrI	126903	128102	-1	null	Active	null	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
S000000014	ORF	Verified	YAL016W	TPD3	FUN32 protein phosphatase 2A structural subunit TPD3	null	1908	chrI	124879	126786	1	null	Active	null	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
S000000015	ORF	Verified	YAL017W	PSK1	FUN31 serine/threonine protein kinase PSK1	null	4071	chrI	120225	124295	1	null	Active	null	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
S000000016	ORF	Verified	YAL018C	LDS1	null	null	978	chrI	118564	119541	-1	null	Active	null	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
S000000017	ORF	Verified	YAL019W	FUN30	DNA-dependent ATPase FUN30	null	3396	chrI	114919	118314	1	null	Active	null	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
S000000018	ORF	Verified	YAL020C	ATS1	FUN28 KTI13	null	1002	chrI	113614	114615	-1	null	Active	null	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
S000000019	ORF	Verified	YAL021C	CCR4	CCR4-NOT core exoribonuclease subunit CCR4 FUN27 NUT21	null	2514	chrI	110846	113359	-1	null	Active	null	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
S000000020	ORF	Verified	YAL022C	FUN26	nucleoside transmembrane transporter FUN26	null	1554	chrI	108877	110430	-1	null	Active	null	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
S000000021	ORF	Verified	YAL023C	PMT2	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2 FUN25	null	2280	chrI	106272	108551	-1	null	Active	null	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
S000000022	ORF	Verified	YAL024C	LTE1	mitotic regulator LTE1 MSI2	null	4308	chrI	101565	105872	-1	null	Active	null	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
S000000023	ORF	Verified	YAL025C	MAK16	ribosome biosynthesis protein MAK16	null	921	chrI	100225	101145	-1	null	Active	null	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
S000000024	ORF	Verified	YAL026C	DRS2	aminophospholipid-translocating P4-type ATPase DRS2 FUN38 SWA3	null	4068	chrI	95630	99697	-1	null	Active	null	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
S000000025	ORF	Verified	YAL027W	SAW1	DNA-binding protein SAW1	null	786	chrI	94687	95472	1	null	Active	null	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
S000000026	ORF	Verified	YAL028W	FRT2	HPH2	null	1587	chrI	92900	94486	1	null	Active	null	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
S000000027	ORF	Verified	YAL029C	MYO4	FUN22 myosin 4 SHE1	null	4416	chrI	87855	92270	-1	null	Active	null	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
S000000028	ORF	Verified	YAL030W	SNC1	SNAP receptor SNC1	null	467	chrI	87286	87752	1	null	Active	null	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
S000000029	ORF	Verified	YAL031C	GIP4	FUN21 protein phosphatase regulator GIP4	null	2283	chrI	84749	87031	-1	null	Active	null	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
S000000030	ORF	Verified	YAL032C	PRP45	FUN20 mRNA splicing protein PRP45	null	1140	chrI	83335	84474	-1	null	Active	null	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
S000000031	ORF	Verified	YAL033W	POP5	FUN53 RNA-binding protein POP5	null	522	chrI	82706	83227	1	null	Active	null	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
S000000032	ORF	Verified	YAL034W-A	MTW1	DSN3 MIND complex subunit MTW1 NSL2	null	870	chrI	79718	80587	1	null	Active	null	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
S000000033	ORF	Verified	YAL035W	FUN12	eIF5B translation initiation factor eIF5B yIF2	null	3009	chrI	76427	79435	1	null	Active	null	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
S000000034	ORF	Verified	YAL036C	RBG1	FUN11 GTP-binding protein RBG1	null	1110	chrI	75043	76152	-1	null	Active	null	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
S000000035	ORF	Uncharacterized	YAL037W	null	null	null	804	chrI	74020	74823	1	null	Active	null	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
S000000036	ORF	Verified	YAL038W	CDC19	PYK1 pyruvate kinase CDC19	null	1503	chrI	71786	73288	1	null	Active	null	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
S000000037	ORF	Verified	YAL039C	CYC3	CCHL holocytochrome c synthase CYC3	null	810	chrI	68716	69525	-1	null	Active	null	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant
S000000038	ORF	Verified	YAL040C	CLN3	cyclin CLN3 DAF1 FUN10 WHI1	null	1743	chrI	65778	67520	-1	null	Active	null	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1
S000000039	ORF	Verified	YAL041W	CDC24	CLS4 Rho family guanine nucleotide exchange factor CDC24	null	2565	chrI	62840	65404	1	null	Active	null	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
S000000040	ORF	Verified	YAL042W	ERV46	FUN9	null	1248	chrI	61316	62563	1	null	Active	null	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
S000000041	ORF	Verified	YAL043C	PTA1	FUN39 RNA-processing protein PTA1	null	2358	chrI	58695	61052	-1	null	Active	null	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
S000000042	ORF	Verified	YAL044C	GCV3	glycine decarboxylase subunit H	null	513	chrI	57950	58462	-1	null	Active	null	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
S000000043	ORF	Dubious	YAL045C	null	null	null	309	chrI	57488	57796	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
S000000044	ORF	Verified	YAL046C	BOL3	AIM1	null	357	chrI	57029	57385	-1	null	Active	null	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)
S000000045	ORF	Verified	YAL047C	SPC72	gamma-tubulin complex subunit SPC72 LDB4	null	1869	chrI	54989	56857	-1	null	Active	null	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase
S000000046	ORF	Verified	YAL048C	GEM1	ERMES complex Ca(2+)-binding regulatory GTPase GEM1 GON1	null	1989	chrI	52801	54789	-1	null	Active	null	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
S000000047	ORF	Verified	YAL049C	AIM2	protein AIM2	null	741	chrI	51855	52595	-1	null	Active	null	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
S000000048	ORF	Verified	YAL051W	OAF1	oleate-activated transcription factor OAF1 YAF1	null	3144	chrI	48564	51707	1	null	Active	null	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
S000000049	ORF	Verified	YAL053W	FLC2	flavin adenine dinucleotide transporter FLC2 HUF2	null	2352	chrI	45899	48250	1	null	Active	null	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
S000000050	ORF	Verified	YAL054C	ACS1	acetate--CoA ligase 1 FUN44	null	2142	chrI	42881	45022	-1	null	Active	null	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
S000000051	ORF	Verified	YAL055W	PEX22	ubiquitin-protein transferase activating protein PEX22 YAF5	null	543	chrI	42177	42719	1	null	Active	null	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
S000000052	ORF	Verified	YAL056W	GPB2	KRH1	null	2643	chrI	39259	41901	1	null	Active	null	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
S000000054	ORF	Verified	YAL058W	CNE1	calnexin FUN48	null	1509	chrI	37464	38972	1	null	Active	null	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
S000000055	ORF	Verified	YAL059W	ECM1	null	null	639	chrI	36509	37147	1	null	Active	null	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
S000000056	ORF	Verified	YAL060W	BDH1	BDH (R,R)-butanediol dehydrogenase	null	1149	chrI	35155	36303	1	null	Active	null	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
S000000057	ORF	Uncharacterized	YAL061W	BDH2	putative dehydrogenase BDH2	null	1254	chrI	33448	34701	1	null	Active	null	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
S000000058	ORF	Verified	YAL062W	GDH3	FUN51 glutamate dehydrogenase (NADP(+)) GDH3	null	1374	chrI	31567	32940	1	null	Active	null	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
S000000059	ORF	Verified	YAL063C	FLO9	flocculin FLO9	null	3969	chrI	24000	27968	-1	null	Active	null	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
S000000060	ORF	Verified	YAL064W	null	null	null	285	chrI	21566	21850	1	null	Active	null	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
S000000061	ORF	Dubious	YAL066W	null	null	null	309	chrI	10091	10399	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000000062	ORF	Verified	YAL067C	SEO1	putative permease SEO1	null	1782	chrI	7235	9016	-1	null	Active	null	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
S000000063	ORF	Verified	YAR002W	NUP60	FG-nucleoporin NUP60	null	1620	chrI	152257	153876	1	null	Active	null	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
S000000064	ORF	Verified	YAR003W	SWD1	COMPASS subunit protein SWD1 CPS50 FUN16 SAF49	null	1281	chrI	155005	156285	1	null	Active	null	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
S000000065	ORF	Verified	YAR007C	RFA1	BUF2 FUN3 replication factor A subunit protein RFA1 RPA1 RPA70	null	1866	chrI	156754	158619	-1	null	Active	null	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia
S000000066	ORF	Verified	YAR008W	SEN34	FUN4 tRNA splicing endonuclease subunit SEN34	null	828	chrI	158966	159793	1	null	Active	null	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
S000000069	ORF	Verified	YAR014C	BUD14	protein phosphatase regulator BUD14	null	2130	chrI	166742	168871	-1	null	Active	null	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress
S000000070	ORF	Verified	YAR015W	ADE1	phosphoribosylaminoimidazolesuccinocarboxamide synthase	null	921	chrI	169375	170295	1	null	Active	null	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
S000000071	ORF	Verified	YAR018C	KIN3	FUN52 NPK1 serine/threonine protein kinase KIN3	null	1308	chrI	170396	171703	-1	null	Active	null	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol
S000000072	ORF	Verified	YAR019C	CDC15	LYT1 serine/threonine protein kinase CDC15	null	2925	chrI	172211	175135	-1	null	Active	null	Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress
S000000073	ORF	Verified	YAR020C	PAU7	seripauperin PAU7	null	168	chrI	176856	177023	-1	null	Active	null	Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme
S000000074	ORF	Uncharacterized	YAR023C	null	DUP240 family protein	null	540	chrI	179281	179820	-1	null	Active	null	Putative integral membrane protein; member of DUP240 gene family
S000000075	ORF	Verified	YAR027W	UIP3	DUP240 family protein UIP3	null	708	chrI	183770	184477	1	null	Active	null	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family
S000000076	ORF	Uncharacterized	YAR028W	null	DUP240 family protein	null	705	chrI	184892	185596	1	null	Active	null	Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
S000000077	ORF	Uncharacterized	YAR029W	null	DUP240 family protein	null	225	chrI	186321	186545	1	null	Active	null	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
S000000078	ORF	Verified	YAR031W	PRM9	pheromone-regulated DUP240 family protein PRM9	null	897	chrI	186836	187732	1	null	Active	null	Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication
S000000079	ORF	Verified	YAR033W	MST28	DUP240 family protein MST28	null	705	chrI	188107	188811	1	null	Active	null	Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication
S000000080	ORF	Verified	YAR035W	YAT1	carnitine O-acetyltransferase YAT1	null	2064	chrI	190193	192256	1	null	Active	null	Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated
S000000081	ORF	Verified	YAR042W	SWH1	OSH1 oxysterol-binding protein related protein SWH1 YAR044W	null	3567	chrI	192619	196185	1	null	Active	null	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication
S000000083	ORF	Dubious	YAR047C	null	null	null	321	chrI	201467	201787	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000000084	ORF	Verified	YAR050W	FLO1	FLO2 FLO4 flocculin FLO1	null	4614	chrI	203403	208016	1	null	Active	null	Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication
S000000085	ORF	Dubious	YAR053W	null	null	null	297	chrI	208367	208663	1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
S000000086	ORF	Dubious	YAR060C	null	null	null	336	chrI	217157	217492	-1	null	Active	null	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication
S000000089	ORF	Uncharacterized	YAR064W	null	null	null	300	chrI	220198	220497	1	null	Active	null	Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication
S000000091	ORF	Uncharacterized	YAR068W	null	null	null	486	chrI	222406	222891	1	null	Active	null	Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication
